CheckDate;DateEntered;ChkNbr;MCID;Purpose;Program;Campaign;Amount;Notes
2015-06-18;2014-06-18;;"WIL44";Dues;Dues-AnnualMbr;;100.00;"This is to test forward dating a payment to cover 2 years of dues payments."
2014-05-08;2014-05-09;;"SUL11";Dues;Dues-AnnualMbr;AnonMatch14;25.00;""
2014-05-08;2014-05-09;;"BER73";Dues;Dues-Subscr;AnonMatch14;15.00;""
2014-05-08;2014-05-08;;"DOR16";Dues;Dues-Subscr;;20.00;""
2014-05-07;2014-05-07;;"DER50";Dues;Dues-Subscr;;20.00;""
2014-05-06;2014-05-08;7703;"LEM14";Dues;Dues-AnnualMbr;EmailedNotice;25.00;""
2014-05-06;2014-05-08;14952;"BAL15";Dues;Dues-AnnualMbr;MailedNotice;25.00;""
2014-05-06;2014-05-06;2445;"STR20A";PrgIncome;Prg-Deposit;;40.00;"Net #5"
2014-05-06;2014-05-06;9246;"VET66";Dues;Dues-AnnualMbr;;100.00;""
2014-05-06;2014-05-09;1582;"ERI69";Dues;Dues-AnnualMbr;AnonMatch14;50.00;""
2014-05-06;2014-05-06;;"JON21A";Dues;Dues-Subscr;;50.00;""
2014-05-06;2014-05-06;;"THA32";Dues;Dues-Subscr;;15.00;""
2014-05-06;2014-05-06;;"GUI10";Dues;Dues-Subscr;;25.00;""
2014-05-06;2014-05-06;;"CHE28";Dues;Dues-Subscr;;20.00;""
2014-05-05;2014-05-09;1300;"KEL26";Dues;Dues-AnnualMbr;AnonMatch14;250.00;"Note: Sent $150.00 more this year  for matching program."
2014-05-05;2014-05-06;;"BLA46";InkindDon;Ink-Other;;100.00;"donation of two bat boxes for us"
2014-05-05;2014-05-05;ca;"SCH67";Dues;Dues-AnnualMbr;;50.00;"An Rescuer"
2014-05-05;2014-05-05;;"CAR13";Dues;Dues-AnnualMbr;;0.00;"Vol = time"
2014-05-05;2014-05-05;;"DIL82";Dues;Dues-AnnualMbr;;0.00;"Vol - time"
2014-05-05;2014-05-09;;"RIV17";Dues;Dues-Subscr;AnonMatch14;50.00;""
2014-05-05;2014-05-09;;"COH26";Dues;Dues-Subscr;AnonMatch14;10.00;""
2014-05-05;2014-05-05;;"BOU14";Dues;Dues-Subscr;;100.00;""
2014-05-05;2014-05-05;;"BLA46";Dues;Dues-AnnualMbr;;0.00;"in-kind for 1yr. donation fo two bat boxes for us"
2014-05-05;2014-05-05;;"TOD12";Dues;Dues-AnnualMbr;;0.00;"volunteer = time"
2014-05-04;2014-05-08;4237;"PRI13";Dues;Dues-Subscr;;30.00;""
2014-05-04;2014-05-04;;"TOS11";Dues;Dues-Other;;0.00;"Volunteer"
2014-05-04;2014-05-04;;"RED14";Dues;Dues-Other;;0.00;"Vol. Hrs. (in-kind)"
2014-05-04;2014-05-04;;"PET17B";Dues;Dues-AnnualMbr;;0.00;"Donor Yoga event held to benefit PWC"
2014-05-04;2014-05-09;;"LEM13";Dues;Dues-AnnualMbr;AnonMatch14;0.00;"in-kind membership as they donate to us & have dona. jar"
2014-05-04;2014-05-09;;"UNL39";Dues;Dues-AnnualMbr;AnonMatch14;0.00;"Make in-kind members - always donating to fundraisers & have a dona. jar for us."
2014-05-04;2014-05-04;141;"PIN75";PrgIncome;Prg-Sales;;27.00;"t-shirt order"
2014-05-04;2014-05-04;ca;"BOL35";PrgIncome;Prg-Sales;;13.00;"Ordered t-shirt"
2014-05-04;2014-05-04;ca;"OTD00";PrgIncome;Prg-EducPres;Other;77.00;"Templeton 5/3 event - donation jar"
2014-05-04;2014-05-05;1363;"WOL37";PrgIncome;Prg-Deposit;;40.00;"Net Deposit Net #1"
2014-05-04;2014-05-04;ca;"WOL37";PrgIncome;Prg-Sales;;12.00;""
2014-05-04;2014-05-09;ca;"VIV17";Dues;Dues-AnnualMbr;AnonMatch14;10.00;""
2014-05-04;2014-05-09;;"PLE17";Dues;Dues-Subscr;AnonMatch14;10.00;""
2014-05-03;2014-05-03;;"BYE80";Dues;Dues-Subscr;;25.00;""
2014-05-03;2014-05-03;;"QUE30";Dues;Dues-Subscr;;10.00;""
2014-05-03;2014-05-03;;"MCK10";Dues;Dues-Subscr;;5.00;""
2014-05-02;2014-05-09;7454;"HAM18";Dues;Dues-Subscr;AnonMatch14;10.00;""
2014-05-02;2014-05-09;cc-auth;"GIB54";Dues;Dues-AnnualMbr;AnonMatch14;50.00;""
2014-05-02;2014-05-04;cc-auth;"MCD43";Donation;Don-UnresDonation;;5.00;""
2014-05-02;2014-05-09;4220;"PEP21";Dues;Dues-AnnualMbr;AnonMatch14;300.00;""
2014-05-02;2014-05-02;;"BUR14";Dues;Dues-Subscr;;20.00;""
2014-05-02;2014-05-09;;"JON26";Dues;Dues-Subscr;AnonMatch14;4.25;""
2014-05-02;2014-05-09;;"RES68";Dues;Dues-Subscr;AnonMatch14;10.00;""
2014-05-02;2014-05-02;;"MAR43";Dues;Dues-Subscr;;10.00;""
2014-05-02;2014-05-02;;"SIN11";Dues;Dues-Subscr;;30.00;""
2014-05-02;2014-05-02;;"DUA69";Dues;Dues-Subscr;;15.00;""
2014-05-01;2014-05-08;1774;"FOR18";Dues;Dues-AnnualMbr;AnonMatch;35.00;"New member."
2014-05-01;2014-05-08;145271;"DUC17A";Dues;Dues-Subscr;;40.00;""
2014-05-01;2014-05-08;2019514;"COR77";Grant;Gra-GrantFunding;FundOurVet;14946.00;"Grant issued by Schwab Charitable Fund matching for FOV."
